State,Median Income,Points
Alabama," $46,472 ",4
Alaska," $76,114 ",48
Arizona," $53,510 ",21
Arkansas," $43,813 ",2
California," $67,169 ",42
Colorado," $65,458 ",39
Connecticut," $73,781 ",45
Delaware," $63,036 ",37
Florida," $50,883 ",13
Georgia," $52,977 ",19
Hawaii," $74,923 ",47
Idaho," $50,985 ",14
Illinois," $61,229 ",34
Indiana," $52,182 ",16
Iowa," $56,570 ",26
Kansas," $55,477 ",24
Kentucky," $46,535 ",5
Louisiana," $46,710 ",6
Maine," $53,024 ",20
Maryland," $78,916 ",50
Massachusetts," $74,167 ",46
Michigan," $52,668 ",18
Minnesota," $65,699 ",40
Mississippi," $42,009 ",1
Missouri," $51,542 ",15
Montana," $50,801 ",12
Nebraska," $56,675 ",27
Nevada," $55,434 ",23
New Hampshire," $71,305 ",44
New Jersey," $76,475 ",49
New Mexico," $46,718 ",7
New York," $62,765 ",36
North Carolina," $50,320 ",11
North Dakota," $61,285 ",35
Ohio," $52,407 ",17
Oklahoma," $49,767 ",10
Oregon," $56,119 ",25
Pennsylvania," $56,951 ",29
Rhode Island," $61,043 ",33
South Carolina," $48,781 ",9
South Dakota," $54,126 ",22
Tennessee," $48,708 ",8
Texas," $57,051 ",30
Utah," $65,325 ",38
Vermont," $57,808 ",31
Virginia," $68,766 ",43
Washington," $66,174 ",41
West Virginia," $44,061 ",3
Wisconsin," $56,759 ",28
Wyoming," $60,938 ",32
