State,Graduation Rate Percentage 2014-2015,Rank,,,
Alabama,89.30%, 3 ,,,
Alaska,75.60%, 46 ,,,
Arizona,77.40%, 44 ,,,
Arkansas,84.90%, 25 ,,,
California,82.00%, 31 ,,,
Colorado,77.30%, 45 ,,,
Connecticut,87.20%, 14 ,,,
Delaware,85.60%, 22 ,,,
Florida,77.90%, 42 ,,,
Georgia,78.80%, 40 ,,,
Hawaii,81.60%, 33 ,,,
Idaho,78.90%, 39 ,,,
Illinois,85.60%, 23 ,,,
Indiana,87.10%, 15 ,,,
Iowa,90.80%, 1 ,,,
Kansas,85.70%, 20 ,,,
Kentucky,88.00%, 8 ,,,
Louisiana,77.50%, 43 ,,,
Maine,87.50%, 12 ,,,
Maryland,87.00%, 16 ,,,
Massachusetts,87.30%, 13 ,,,
Michigan,79.80%, 36 ,,,
Minnesota,81.90%, 32 ,,,
Mississippi,75.40%, 47 ,,,
Missouri,87.80%, 10 ,,,
Montana,86.00%, 19 ,,,
Nebraska,88.90%, 5 ,,,
Nevada,71.30%, 49 ,,,
New Hampshire,88.10%, 7 ,,,
New Jersey,89.70%, 2 ,,,
New Mexico,68.60%, 50 ,,,
New York,79.20%, 38 ,,,
North Carolina,85.60%, 24 ,,,
North Dakota,86.60%, 17 ,,,
Ohio,80.70%, 34 ,,,
Oklahoma,82.50%, 30 ,,,
Oregon,73.80%, 48 ,,,
Pennsylvania,84.80%, 26 ,,,
Rhode Island,83.20%, 29 ,,,
South Carolina,80.30%, 35 ,,,
South Dakota,83.90%, 28 ,,,
Tennessee,87.90%, 9 ,,,
Texas,89.00%, 4 ,,,
Utah,84.80%, 27 ,,,
Vermont,87.70%, 11 ,,,
Virginia,85.70%, 21 ,,,
Washington,78.20%, 41 ,,,
West Virginia,86.50%, 18 ,,,
Wisconsin,88.40%, 6 ,,,
Wyoming,79.30%, 37 ,,,
