,Individual lives in household with Internet use ,,,
State,Number,Rank by Number,Percentage,Rank by Percentage
Alabama,3277.888,24,72,47
Alaska,558.897,47,83.1,16
Arizona,4578.534,17,73.7,44
Arkansas,2086.207,34,74.8,39
California,29195.249,1,81.3,22
Colorado,4185.479,22,85.7,6
Connecticut,2885.201,28,84,12
Delaware,680.28,45,78.2,32
Florida,15003.118,4,81.5,21
Georgia,7419.478,9,79.2,29
Hawaii,1092.533,41,85,10
Idaho,1319.29,38,86.8,4
Illinois,10085.762,5,82.7,19
Indiana,4852.272,15,77.7,33
Iowa,2351.74,30,80.2,28
Kansas,2190.17,32,80.7,26
Kentucky,3059.746,26,74.4,41
Louisiana,2926.389,27,67.7,49
Maine,1072.957,42,84.2,11
Maryland,4681.073,16,83.6,15
Massachusetts,5446.238,14,86,5
Michigan,7625.528,8,80.8,24
Minnesota,4497.097,19,87.4,3
Mississippi,1814.363,35,64.8,50
Missouri,4301.793,21,75.4,38
Montana,752.702,44,78.3,30
Nebraska,1320.055,37,76.1,36
Nevada,2107.949,33,82.8,18
New Hampshire,1109.347,40,87.7,2
New Jersey,7057.496,11,83.7,14
New Mexico,1470.491,36,73.9,43
New York,15115.671,3,81,23
North Carolina,7087.844,10,77.7,34
North Dakota,547.648,48,84,13
Ohio,8277.208,7,75.6,37
Oklahoma,2711.62,29,74.8,40
Oregon,3274.107,25,87.9,1
Pennsylvania,9860.249,6,80.8,25
Rhode Island,828.413,43,82.2,20
South Carolina,3289.489,23,73.7,45
South Dakota,614.259,46,78.3,31
Tennessee,4544.952,18,74.3,42
Texas,17731.465,2,72.6,46
Utah,2264.798,31,85.2,8
Vermont,518.985,49,85.7,7
Virginia,5923.128,12,77.2,35
Washington,5524.159,13,85.1,9
West Virginia,1247.732,39,70.6,48
Wisconsin,4436.961,20,80.7,27
Wyoming,449.6,50,82.9,17
