State,Median Income,Points
Maryland," $78,916 ",1
New Jersey," $76,475 ",2
Alaska," $76,114 ",3
Hawaii," $74,923 ",4
Massachusetts," $74,167 ",5
Connecticut," $73,781 ",6
New Hampshire," $71,305 ",7
Virginia," $68,766 ",8
California," $67,169 ",9
Washington," $66,174 ",10
Minnesota," $65,699 ",11
Colorado," $65,458 ",12
Utah," $65,325 ",13
Delaware," $63,036 ",14
New York," $62,765 ",15
North Dakota," $61,285 ",16
Illinois," $61,229 ",17
Rhode Island," $61,043 ",18
Wyoming," $60,938 ",19
Vermont," $57,808 ",20
Texas," $57,051 ",21
Pennsylvania," $56,951 ",22
Wisconsin," $56,759 ",23
Nebraska," $56,675 ",24
Iowa," $56,570 ",25
Oregon," $56,119 ",26
Kansas," $55,477 ",27
Nevada," $55,434 ",28
South Dakota," $54,126 ",29
Arizona," $53,510 ",30
Maine," $53,024 ",31
Georgia," $52,977 ",32
Michigan," $52,668 ",33
Ohio," $52,407 ",34
Indiana," $52,182 ",35
Missouri," $51,542 ",36
Idaho," $50,985 ",37
Florida," $50,883 ",38
Montana," $50,801 ",39
North Carolina," $50,320 ",40
Oklahoma," $49,767 ",41
South Carolina," $48,781 ",42
Tennessee," $48,708 ",43
New Mexico," $46,718 ",44
Louisiana," $46,710 ",45
Kentucky," $46,535 ",46
Alabama," $46,472 ",47
West Virginia," $44,061 ",48
Arkansas," $43,813 ",49
Mississippi," $42,009 ",50
